,_id,uuid,user_id,session_id,page,timestamp,key_stroke,zoom_level,lng,lat,stats,timestamp_pst
264,{'$oid': '6627ee79fb500f596ec80f1f'},862a442c-0068-4697-8974-1fbd162cd53e,user3,cae46c27-29e3-4ba1-a56d-0d5048c26313,transit,2024-04-23 17:23:04.985000+00:00,Control,4.0,-98.5795,39.8283,Information is loading.,2024-04-23 10:23:04.985000-07:00
265,{'$oid': '6627ee7dfb500f596ec80f20'},ea7584a0-70b8-4582-ab7a-31b11e8385a6,user3,cae46c27-29e3-4ba1-a56d-0d5048c26313,transit,2024-04-23 17:23:09.287000+00:00,Control,4.0,-98.5795,39.8283,"In the current view:

Percentage of transit commuters is high in the top-right, and the top-left.

Percentage of transit commuters is low in the bottom-right.

The average percentage of transit commuters is 2.5%.

The state with the highest percentage of transit commuters is District of Columbia, with 25.5% of people who take transit to work.

The state with the lowest percentage of transit commuters is Mississippi, with 0.3% of people who take transit to work.

Press l to hear the boundary of the current view.

Press m to interact with the map.",2024-04-23 10:23:09.287000-07:00
266,{'$oid': '6627ee7ffb500f596ec80f21'},c71ad9c9-8eaf-49e4-8464-1b9172e27408,user3,cae46c27-29e3-4ba1-a56d-0d5048c26313,transit,2024-04-23 17:23:11.687000+00:00,Control,4.0,-98.5795,39.8283,"In the current view:

Percentage of transit commuters is high in the top-right, and the top-left.

Percentage of transit commuters is low in the bottom-right.

The average percentage of transit commuters is 2.5%.

The state with the highest percentage of transit commuters is District of Columbia, with 25.5% of people who take transit to work.

The state with the lowest percentage of transit commuters is Mississippi, with 0.3% of people who take transit to work.

Press l to hear the boundary of the current view.

Press m to interact with the map.",2024-04-23 10:23:11.687000-07:00
267,{'$oid': '6627eea6fb500f596ec80f22'},4efb3b0b-161e-44f0-a9ef-e128471c8f86,user3,cae46c27-29e3-4ba1-a56d-0d5048c26313,transit,2024-04-23 17:23:50.371000+00:00,Tab,4.0,-98.5795,39.8283,"In the current view:

Percentage of transit commuters is high in the top-right, and the top-left.

Percentage of transit commuters is low in the bottom-right.

The average percentage of transit commuters is 2.5%.

The state with the highest percentage of transit commuters is District of Columbia, with 25.5% of people who take transit to work.

The state with the lowest percentage of transit commuters is Mississippi, with 0.3% of people who take transit to work.

Press l to hear the boundary of the current view.

Press m to interact with the map.",2024-04-23 10:23:50.371000-07:00
268,{'$oid': '6627eea7fb500f596ec80f23'},cb0760f2-2d78-4de5-a8db-bc89ead76ec2,user3,cae46c27-29e3-4ba1-a56d-0d5048c26313,transit,2024-04-23 17:23:51.815000+00:00,Control,4.0,-98.5795,39.8283,"In the current view:

Percentage of transit commuters is high in the top-right, and the top-left.

Percentage of transit commuters is low in the bottom-right.

The average percentage of transit commuters is 2.5%.

The state with the highest percentage of transit commuters is District of Columbia, with 25.5% of people who take transit to work.

The state with the lowest percentage of transit commuters is Mississippi, with 0.3% of people who take transit to work.

Press l to hear the boundary of the current view.

Press m to interact with the map.",2024-04-23 10:23:51.815000-07:00
269,{'$oid': '6627eea9fb500f596ec80f24'},0a29fd4c-a964-40cf-a4d9-7a7782d8d04d,user3,cae46c27-29e3-4ba1-a56d-0d5048c26313,transit,2024-04-23 17:23:53.350000+00:00,i,4.0,-98.5795,39.8283,"In the current view:

Percentage of transit commuters is high in the top-right, and the top-left.

Percentage of transit commuters is low in the bottom-right.

The average percentage of transit commuters is 2.5%.

The state with the highest percentage of transit commuters is District of Columbia, with 25.5% of people who take transit to work.

The state with the lowest percentage of transit commuters is Mississippi, with 0.3% of people who take transit to work.

Press l to hear the boundary of the current view.

Press m to interact with the map.",2024-04-23 10:23:53.350000-07:00
270,{'$oid': '6627eebefb500f596ec80f25'},abea81c1-2135-4e90-b8ec-63f8d23316db,user3,cae46c27-29e3-4ba1-a56d-0d5048c26313,transit,2024-04-23 17:24:14.583000+00:00,Control,4.0,-98.5795,39.8283,"In the current view:

Percentage of transit commuters is high in the top-right, and the top-left.

Percentage of transit commuters is low in the bottom-right.

The average percentage of transit commuters is 2.5%.

The state with the highest percentage of transit commuters is District of Columbia, with 25.5% of people who take transit to work.

The state with the lowest percentage of transit commuters is Mississippi, with 0.3% of people who take transit to work.

Press l to hear the boundary of the current view.

Press m to interact with the map.",2024-04-23 10:24:14.583000-07:00
271,{'$oid': '6627eed2fb500f596ec80f26'},5b903f2a-a26e-4f96-a4d8-b1d33aa8028d,user3,cae46c27-29e3-4ba1-a56d-0d5048c26313,transit,2024-04-23 17:24:34.568000+00:00,i,4.0,-98.5795,39.8283,"In the current view:

Percentage of transit commuters is high in the top-right, and the top-left.

Percentage of transit commuters is low in the bottom-right.

The average percentage of transit commuters is 2.5%.

The state with the highest percentage of transit commuters is District of Columbia, with 25.5% of people who take transit to work.

The state with the lowest percentage of transit commuters is Mississippi, with 0.3% of people who take transit to work.

Press l to hear the boundary of the current view.

Press m to interact with the map.",2024-04-23 10:24:34.568000-07:00
272,{'$oid': '6627eed9fb500f596ec80f27'},9cf1399c-3f4b-4691-81ab-232c841e5506,user3,cae46c27-29e3-4ba1-a56d-0d5048c26313,transit,2024-04-23 17:24:41.690000+00:00,Control,4.0,-98.5795,39.8283,"In the current view:

Percentage of transit commuters is high in the top-right, and the top-left.

Percentage of transit commuters is low in the bottom-right.

The average percentage of transit commuters is 2.5%.

The state with the highest percentage of transit commuters is District of Columbia, with 25.5% of people who take transit to work.

The state with the lowest percentage of transit commuters is Mississippi, with 0.3% of people who take transit to work.

Press l to hear the boundary of the current view.

Press m to interact with the map.",2024-04-23 10:24:41.690000-07:00
273,{'$oid': '6627eee9fb500f596ec80f28'},ddfa11c3-549c-4ef1-8d57-ad251bb209b0,user3,cae46c27-29e3-4ba1-a56d-0d5048c26313,transit,2024-04-23 17:24:57.900000+00:00,n,4.0,-98.5795,39.8283,"In the current view:

Percentage of transit commuters is high in the top-right, and the top-left.

Percentage of transit commuters is low in the bottom-right.

The average percentage of transit commuters is 2.5%.

The state with the highest percentage of transit commuters is District of Columbia, with 25.5% of people who take transit to work.

The state with the lowest percentage of transit commuters is Mississippi, with 0.3% of people who take transit to work.

Press l to hear the boundary of the current view.

Press m to interact with the map.",2024-04-23 10:24:57.900000-07:00
