Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008
"53053072909","Census Tract 729.09, Pierce County, Washington","wa","140","00",,,,"53","053",,,"072909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 729.09",,,,2139,1303,873,430,17,7,0,718,0,94
"53053073001","Census Tract 730.01, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 730.01",,,,3177,2843,2691,152,35,0,0,47,0,252
"53053073005","Census Tract 730.05, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 730.05",,,,2052,1855,1632,223,1,0,0,0,0,196
"53053073006","Census Tract 730.06, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 730.06",,,,2006,1433,1248,185,0,0,0,32,81,460
"53053073110","Census Tract 731.10, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 731.10",,,,2038,1634,1534,100,30,7,0,0,0,367
"53053073111","Census Tract 731.11, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 731.11",,,,2241,1989,1640,349,39,15,0,6,10,182
"53053073114","Census Tract 731.14, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 731.14",,,,2341,2150,1751,399,0,23,0,10,14,144
"53053073115","Census Tract 731.15, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 731.15",,,,2443,2237,2059,178,9,14,0,0,8,175
"53053073116","Census Tract 731.16, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 731.16",,,,2286,2029,1801,228,9,0,0,0,17,231
"53053073117","Census Tract 731.17, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 731.17",,,,2020,1849,1544,305,0,0,0,0,36,135
