Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008
"01","Alabama","al","040","00",,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alabama",,,,2183677,1985736,1808631,177105,8235,1878,1805,24058,16559,145406
"02","Alaska","ak","040","00",,,,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alaska",,,,351067,274263,231484,42779,5404,474,2447,27039,13159,28281
"04","Arizona","az","040","00",,,,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arizona",,,,3244419,2610395,2285920,324475,46621,10036,19629,54751,40263,462724
"05","Arkansas","ar","040","00",,,,"05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas",,,,1304084,1177402,1051964,125438,4347,1278,2052,19571,11443,87991
"06","California","ca","040","00",,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"California",,,,18353469,14313290,12561068,1752222,700360,46193,135240,437430,220114,2500842
"08","Colorado","co","040","00",,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colorado",,,,3006848,2304559,2062480,242079,66908,4587,30681,79574,24630,495909
"09","Connecticut","ct","040","00",,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Connecticut",,,,1798193,1435163,1298747,136416,67299,1120,3798,48134,16013,226666
"10","Delaware","de","040","00",,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware",,,,468881,389861,352389,37472,8608,197,1397,9929,4334,54555
"11","District of Columbia","dc","040","00",,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"District of Columbia",,,,366965,125362,108961,16401,93507,476,12169,37673,5943,91835
"12","Florida","fl","040","00",,,,"12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Florida",,,,9897435,8224378,7334018,890360,156047,19949,49608,133817,132309,1181327
