Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00002_001,SE_A00002_002,SE_A00002_003
"53001950100","Census Tract 9501, Adams County, Washington","wa","140","00",,,,"53","001",,,"950100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9501",,,,2456,3.944901,622.575808073242
"53001950200","Census Tract 9502, Adams County, Washington","wa","140","00",,,,"53","001",,,"950200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9502",,,,1935,2.333721,829.148107249918
"53001950301","Census Tract 9503.01, Adams County, Washington","wa","140","00",,,,"53","001",,,"950301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9503.01",,,,1669,10.007,166.783228339282
"53001950302","Census Tract 9503.02, Adams County, Washington","wa","140","00",,,,"53","001",,,"950302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9503.02",,,,2720,40.35379,67.4038211760055
"53001950303","Census Tract 9503.03, Adams County, Washington","wa","140","00",,,,"53","001",,,"950303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9503.03",,,,2826,61.70905,45.7955511762989
"53001950400","Census Tract 9504, Adams County, Washington","wa","140","00",,,,"53","001",,,"950400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9504",,,,3031,2205.137,1.37451795143452
"53001950500","Census Tract 9505, Adams County, Washington","wa","140","00",,,,"53","001",,,"950500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9505",,,,5920,1237.913,4.78224377873565
"53003960100","Census Tract 9601, Asotin County, Washington","wa","140","00",,,,"53","003",,,"960100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9601",,,,4363,8.431379,517.471654694925
"53003960200","Census Tract 9602, Asotin County, Washington","wa","140","00",,,,"53","003",,,"960200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9602",,,,4450,39.16155,113.631871653459
"53003960300","Census Tract 9603, Asotin County, Washington","wa","140","00",,,,"53","003",,,"960300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9603",,,,3320,2212.227,1.50075019652601
