Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00002_001,SE_A00002_002,SE_A00002_003
"19","Iowa","ia","040","00",,,,"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iowa",,,,3188836,57.09298,55853.3843647152
"20","Kansas","ks","040","00",,,,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kansas",,,,2935922,35.90966,81758.5441044514
"21","Kentucky","ky","040","00",,,,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kentucky",,,,4502935,114.0406,39485.3509313557
"22","Louisiana","la","040","00",,,,"22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Louisiana",,,,4640546,107.388,43212.9021632533
"23","Maine","me","040","00",,,,"23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maine",,,,1366949,44.31672,30844.9965822235
"24","Maryland","md","040","00",,,,"24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maryland",,,,6161707,634.4979,9711.15413353267
"25","Massachusetts","ma","040","00",,,,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Massachusetts",,,,6984205,895.303,7800.94010010857
"26","Michigan","mi","040","00",,,,"26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Michigan",,,,10057921,177.6705,56609.9680956051
"27","Minnesota","mn","040","00",,,,"27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Minnesota",,,,5695292,71.52052,79631.581082229
"28","Mississippi","ms","040","00",,,,"28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mississippi",,,,2958846,63.05544,46924.5152950516
"29","Missouri","mo","040","00",,,,"29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Missouri",,,,6154422,89.52361,68746.3616232971
"30","Montana","mt","040","00",,,,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montana",,,,1091840,7.501469,145550.158743593
"31","Nebraska","ne","040","00",,,,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nebraska",,,,1958939,25.50137,76816.9992694947
"32","Nevada","nv","040","00",,,,"32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nevada",,,,3104817,28.26145,109860.517432513
"33","New Hampshire","nh","040","00",,,,"33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Hampshire",,,,1379610,154.0817,8953.75831548254
"34","New Jersey","nj","040","00",,,,"34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Jersey",,,,9249063,1257.536,7354.90972776708
"35","New Mexico","nm","040","00",,,,"35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Mexico",,,,2112463,17.41336,121312.758761817
"36","New York","ny","040","00",,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New York",,,,19994379,424.2982,47123.4173440186
"37","North Carolina","nc","040","00",,,,"37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Carolina",,,,10470214,215.3302,48624.0025946066
"38","North Dakota","nd","040","00",,,,"38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Dakota",,,,776874,11.25998,68994.2609154946
"39","Ohio","oh","040","00",,,,"39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ohio",,,,11774683,288.1803,40858.7318613059
"40","Oklahoma","ok","040","00",,,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oklahoma",,,,3970497,57.88174,68596.71617938
"41","Oregon","or","040","00",,,,"41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oregon",,,,4229374,44.05749,95996.7046024924
